intake_type,intake_condition,sex_intake,age_intake,breed,color,sex_outcome,age_outcome,stay_length
3,7,2,84,2,0,2,84,15
3,7,0,24,2,6,3,24,118
3,7,0,48,2,6,3,12,379
3,7,1,12,2,5,2,24,4
3,3,3,24,2,2,3,24,55
3,7,0,12,2,2,3,24,4
1,7,3,36,2,3,3,48,20
1,7,0,12,2,1,3,24,9
3,7,1,48,1,1,2,48,101
3,7,1,24,3,5,2,48,132
3,7,0,48,2,0,3,60,5
3,7,1,48,1,0,2,12,28
3,7,1,12,2,1,2,12,27
3,7,0,12,2,2,0,24,4
2,7,0,84,2,8,3,84,10
3,7,1,60,1,8,2,72,18
3,7,0,12,2,7,3,24,35
3,7,2,48,2,0,2,48,51
