simplified_color,simplified_sex,age,simplified_condition,simplified_type,days_stayed,simplified_color_encoded,simplified_sex_encoded,simplified_condition_encoded,simplified_type_encoded
BLACK,FEMALE,5,NORMAL,STRAY,96,0,0,3,2
GRAY,FEMALE,10,OTHER,OWNER SURRENDER,54,1,0,4,1
OTHER,MALE,5,OTHER,STRAY,36,2,1,4,2
BLACK,MALE,5,NORMAL,STRAY,7,0,1,3,2
BLACK,MALE,5,UNDER WEIGHT,STRAY,32,0,1,5,2
TABBY,FEMALE,9,NORMAL,STRAY,99,3,0,3,2
WHITE,FEMALE,8,NORMAL,STRAY,66,4,0,3,2
TABBY,FEMALE,7,NORMAL,STRAY,52,3,0,3,2
TABBY,MALE,5,OTHER,STRAY,43,3,1,4,2
OTHER,FEMALE,5,NORMAL,STRAY,19,2,0,3,2
TABBY,MALE,5,NORMAL,STRAY,23,3,1,3,2
TABBY,FEMALE,5,OTHER,STRAY,20,3,0,4,2
OTHER,FEMALE,8,ILL MILD,OWNER SURRENDER,32,2,0,0,1
WHITE,FEMALE,8,NORMAL,STRAY,28,4,0,3,2
BLACK,FEMALE,7,NORMAL,OWNER SURRENDER,25,0,0,3,1
BLACK,MALE,7,NORMAL,OTHER,25,0,1,3,0
TABBY,MALE,5,NORMAL,STRAY,47,3,1,3,2
BLACK,FEMALE,5,NORMAL,STRAY,4,0,0,3,2
OTHER,FEMALE,6,NORMAL,STRAY,86,2,0,3,2
OTHER,FEMALE,6,NORMAL,OTHER,32,2,0,3,0
BLACK,MALE,5,INJURED,STRAY,5,0,1,2,2
BLACK,FEMALE,12,NORMAL,OWNER SURRENDER,146,0,0,3,1
BLACK,MALE,12,NORMAL,OWNER SURRENDER,46,0,1,3,1
OTHER,FEMALE,6,NORMAL,STRAY,27,2,0,3,2
BLACK,MALE,5,ILL SEVERE,STRAY,171,0,1,1,2
TABBY,MALE,4,UNDER WEIGHT,STRAY,89,3,1,5,2
OTHER,MALE,4,UNDER WEIGHT,STRAY,105,2,1,5,2
WHITE,FEMALE,4,INJURED,STRAY,25,4,0,2,2
OTHER,FEMALE,4,UNDER WEIGHT,STRAY,69,2,0,5,2
BLACK,MALE,4,UNDER WEIGHT,STRAY,22,0,1,5,2
OTHER,FEMALE,4,NORMAL,STRAY,173,2,0,3,2
BLACK,FEMALE,4,INJURED,STRAY,76,0,0,2,2
BLACK,MALE,6,INJURED,OWNER SURRENDER,268,0,1,2,1
TABBY,FEMALE,6,NORMAL,STRAY,210,3,0,3,2
TABBY,FEMALE,4,UNDER WEIGHT,STRAY,62,3,0,5,2
TABBY,MALE,6,INJURED,STRAY,9,3,1,2,2
TABBY,MALE,4,ILL MILD,STRAY,56,3,1,0,2
GRAY,FEMALE,4,UNDER WEIGHT,STRAY,84,1,0,5,2
BLACK,FEMALE,4,UNDER WEIGHT,STRAY,8,0,0,5,2
OTHER,MALE,8,NORMAL,STRAY,12,2,1,3,2
GRAY,MALE,4,UNDER WEIGHT,STRAY,210,1,1,5,2
BLACK,MALE,4,UNDER WEIGHT,STRAY,210,0,1,5,2
TABBY,FEMALE,7,NORMAL,STRAY,199,3,0,3,2
BLACK,FEMALE,4,NORMAL,STRAY,45,0,0,3,2
OTHER,FEMALE,4,UNDER WEIGHT,STRAY,14,2,0,5,2
TABBY,FEMALE,4,OTHER,STRAY,159,3,0,4,2
TABBY,MALE,4,NORMAL,STRAY,10,3,1,3,2
TABBY,FEMALE,4,UNDER WEIGHT,STRAY,8,3,0,5,2
BLACK,MALE,4,UNDER WEIGHT,STRAY,66,0,1,5,2
BLACK,MALE,4,OTHER,STRAY,184,0,1,4,2
BLACK,FEMALE,4,NORMAL,STRAY,271,0,0,3,2
BLACK,FEMALE,4,ILL MILD,STRAY,82,0,0,0,2
TABBY,FEMALE,4,UNDER WEIGHT,STRAY,48,3,0,5,2
TABBY,MALE,4,NORMAL,STRAY,112,3,1,3,2
