intake_age,days_stayed,simplified_color_gray,simplified_color_other,simplified_color_tabby,simplified_color_white,simplified_sex_male,simplified_condition_injured,simplified_condition_normal,simplified_condition_other,simplified_condition_under_weight,simplified_type_owner_surrender,simplified_type_stray
0,97,0,0,0,0,0,0,0,0,1,0,1
0,7,0,0,1,0,0,0,0,0,1,0,1
0,16,0,0,1,0,0,0,0,0,0,0,1
0,15,0,0,0,0,1,0,0,0,0,0,1
0,27,0,0,0,0,0,0,0,0,1,0,1
0,70,0,1,0,0,1,0,0,0,1,0,1
0,8,0,0,0,1,0,0,0,0,1,0,1
0,39,0,0,0,1,1,0,0,0,0,0,1
0,7,0,1,0,0,1,1,0,0,0,0,1
0,28,0,0,0,0,0,0,0,0,1,0,1
7,16,0,1,0,0,0,0,1,0,0,0,0
0,7,0,1,0,0,1,0,1,0,0,0,1
0,42,0,0,0,0,1,0,1,0,0,0,1
0,6,0,0,1,0,1,0,0,0,1,0,1
0,24,0,0,1,0,0,0,0,0,1,0,1
0,23,1,0,0,0,1,0,0,0,1,0,1
0,128,0,0,0,1,1,0,1,0,0,1,0
1,91,0,1,0,0,0,0,1,0,0,1,0
