age,days_stayed,simplified_color_black,simplified_color_gray,simplified_color_other,simplified_color_tabby,simplified_color_white,simplified_sex_female,simplified_sex_male,simplified_condition_ill_mild,simplified_condition_ill_severe,simplified_condition_injured,simplified_condition_normal,simplified_condition_other,simplified_condition_under_weight,simplified_type_other,simplified_type_owner_surrender,simplified_type_stray
4,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
4,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
4,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4,18,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
4,70,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4,70,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
4,112,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
8,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
4,69,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
4,42,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
4,62,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
4,30,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
7,228,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
4,21,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
4,13,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
4,49,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
4,46,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
5,120,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
4,24,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,17,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
4,41,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
5,14,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
4,12,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
4,36,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
5,116,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
5,16,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
6,177,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
4,15,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
4,72,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
5,21,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
4,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
4,90,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
